Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-225.616	-338.4133	112.7973	0.00979734	0.00952215	0.00303358	0.00295964	0.000899442	0.00480467	0.0179011	0.00893467	0.00498094	0.0090529	0.000529012	0.00272025	0.0033222	0.0126183	0.00152034	0.00316431	0.00431441	0.00253569	0.00266683	0.00960396	0.000204841	0.00364651	0.00281908	0.00107831	0.00761861	0.00436415	0.00343195	0.000144235	0.00648663	0.00421463	0.01506	0.00349741	0.00245602	0.00365211	0.00312452	0.000341796	0.000207789	0.000827907	0.0122493	0.00345714	0.0200264	0.00338302	0.000395346	0.0174468	0.0260597	0.00341296	0.00330437	0.000458826	0.0229745	0.00490628	8.87281e-05	0.00503325	0.000173833	0.0219362	0.00840535	0.0534346	0.013397	5.51726e-06	0.00171278	0.00951568	0.00125892	0.10404	6.75012e-05	0.00563098	0.00403179	0.0154694	6.95452e-05	0.0270568	0.0273113	0.0685673	0.00267503	0.000980435	0.00354236	0.917811	1.41094	0.3864152	1.613585	0.175288	0.427736	0.767244	1.30337	2.33789	5.7049	1.259098	4.17578	3.252472	0.0146112	0.0142008	0.0045241	0.00441383	0.00134137	0.0071654	0.0266967	0.0133246	0.00742827	0.013501	0.000788938	0.00405682	0.00495453	0.0188182	0.00226734	0.00471906	0.00643425	0.00378158	0.00397714	0.0143228	0.000305487	0.00543819	0.0042042	0.00160812	0.0113619	0.00650844	0.00511821	0.000215103	0.00967377	0.00628545	0.0224596	0.00521583	0.00366277	0.00544654	0.00465972	0.000509734	0.000309885	0.00123469	0.0182679	0.00515578	0.0298662	0.00504524	0.000589595	0.0260191	0.0388639	0.00508988	0.00492794	0.000684267	0.0342628	0.00731693	0.000132324	0.0075063	0.000259244	0.0327144	0.0125352	0.0796892	0.0199794	8.22812e-06	0.00255434	0.0141911	0.00187747	0.15516	0.000100667	0.00839771	0.00601277	0.0230702	0.000103716	0.0403509	0.0407304	0.102257	0.00398938	0.00146216	0.00528287	0.806792	0.193208	0.6705376
36	-227.2839	-339.5941	112.3102	0.00556549	0.0142488	0.0146363	0.00341614	0.00105368	0.00174755	0.00868445	0.0107544	0.0242233	0.000654397	0.00270876	0.00806514	0.00852489	0.00584897	0.00538862	0.00819666	0.00271733	0.000376418	0.00196557	0.0037923	0.00642357	0.00390831	0.0020446	0.000567239	0.00369378	0.000409071	0.00768338	0.0020515	0.0155276	0.00091203	0.0136746	0.00717228	0.00239998	0.000219539	0.00370556	0.000410688	4.72258e-05	0.00481866	0.0284625	0.00326003	0.0246862	0.0182589	0.00140898	0.0207847	0.00863569	0.00247857	0.00993162	0.000163532	0.010537	0.0102168	4.08056e-06	0.00104052	0.00266618	0.0123444	0.00417628	0.0491276	0.0333325	3.67229e-05	0.00202793	0.0199588	0.00551115	0.0275967	1.66495e-05	0.00378518	0.00489216	0.0539295	0.00121219	0.0115841	0.00297113	0.0365478	0.00117048	0.00147616	0.00174623	0.866843	1.66578	0.209474	1.790526	0.246166	0.504778	0.807928	1.23773	1.98107	4.0623	1.013561	8.547725	2.601909	0.00891594	0.0228266	0.0234474	0.00547267	0.00168799	0.00279958	0.0139125	0.0172286	0.0388059	0.00104835	0.00433944	0.0129204	0.0136569	0.00937009	0.0086326	0.0131311	0.00435318	0.000603024	0.00314886	0.00607528	0.0102906	0.00626114	0.00327546	0.000908719	0.00591745	0.000655334	0.0123088	0.00328651	0.0248753	0.00146108	0.0219067	0.01149	0.00384478	0.000351703	0.00593632	0.000657924	7.56559e-05	0.00771952	0.0455971	0.00522258	0.0395474	0.0292509	0.0022572	0.0332971	0.0138344	0.00397068	0.0159105	0.000261979	0.0168803	0.0163673	6.53707e-06	0.00166692	0.00427123	0.0197758	0.00669043	0.0787026	0.0533988	5.88303e-05	0.00324875	0.0319742	0.00882889	0.0442101	2.66727e-05	0.00606388	0.00783727	0.0863954	0.00194194	0.0185578	0.00475977	0.0585498	0.00187511	0.00236482	0.00279747	0.895263	0.104737	0.6242178
72	-226.0725	-338.6759	112.6034	0.048308	0.0483012	0.00310123	0.00201756	0.0122979	0.0110431	0.0444065	0.0913744	0.0672986	0.00103887	0.00122258	0.00803049	0.0230307	0.0219776	0.00556564	0.00507986	0.000237525	0.00987323	0.0141589	0.0370874	0.00799606	0.000290561	0.0489607	0.00258798	0.0262795	0.00929929	0.00321764	0.000224807	0.0374338	0.00642706	0.126459	0.0261053	0.00198981	0.00843218	0.0113402	0.00449994	0.00608619	0.0172197	0.0709331	0.0049552	0.0205642	0.0653907	0.0198425	0.112561	0.0329896	0.00538958	0.0015527	0.00143327	0.0833265	0.0325422	8.03192e-05	0.0091858	0.00313812	0.0275471	0.0627637	0.200638	0.00940963	0.0117819	0.0206034	0.0231797	0.0343617	0.106471	0.000748787	0.0319728	0.0266177	0.0765222	0.005	0.00268846	0.0108146	0.0206805	0.0458046	0.020971	0.17786	0.897715	1.51143	0.5650401	1.43496	0.597075	0.777622	0.924532	1.08163	1.28597	1.67483	0.3728957	2.539572	2.969759	0.0221533	0.0221502	0.00142218	0.000925222	0.00563962	0.00506421	0.0203641	0.0419029	0.0308621	0.000476408	0.000560658	0.00368266	0.0105615	0.0100786	0.00255232	0.00232955	0.000108925	0.00452772	0.00649304	0.0170077	0.00366687	0.000133247	0.0224526	0.00118681	0.0120514	0.00426452	0.00147556	0.000103093	0.0171666	0.00294735	0.0579921	0.0119715	0.000912499	0.00386687	0.00520044	0.00206361	0.00279104	0.00789668	0.0325288	0.00227238	0.00943045	0.0299872	0.00909948	0.0516187	0.0151285	0.00247158	0.000712046	0.000657278	0.0382123	0.0149233	3.68332e-05	0.00421247	0.00143909	0.0126327	0.0287825	0.0920094	0.00431511	0.00540301	0.00944841	0.0106299	0.0157578	0.0488258	0.000343383	0.0146622	0.0122065	0.0350919	0.00229292	0.00123289	0.00495943	0.00948375	0.0210053	0.00961697	0.0815638	0.71748	0.28252	2.180621
108	-230.1639	-343.8042	113.6403	0.00453841	0.0184936	0.00173666	0.00320111	0.00396295	0.00586409	0.00557845	0.00859049	0.00916191	0.000190227	0.000530994	0.000652979	0.00909254	0.00916981	0.00414946	0.00301656	0.00154203	0.00344315	0.00215383	0.00431838	0.00376664	0.00186513	0.00813646	0.000832381	0.00552933	0.000506387	8.96775e-05	3.71864e-05	0.0136914	0.00218995	0.03114	0.000489146	0.00333652	0.0141084	0.000486254	0.00180888	0.00160639	0.00281089	0.0202152	0.00649019	0.00122114	0.00595844	0.00404489	0.0288124	0.00762887	0.00413357	0.00148926	7.79968e-05	0.00211129	0.0292142	2.7379e-05	0.00714268	0.00225161	0.001677	0.000724978	0.0380693	0.0021536	0.00407544	0.00578925	0.00923358	0.0229379	0.0107281	0.00226153	0.00173642	0.00335824	0.0193537	0.000767448	0.000368724	0.00205802	0.00659145	0.0131612	0.00960137	0.0455166	0.357849	4.21075	0.2053482	1.794652	0.123833	0.361056	0.727732	1.37413	2.76966	8.07539	1.510361	8.739556	0.424923	0.00885022	0.0360638	0.00338661	0.00624239	0.00772803	0.0114354	0.0108784	0.0167521	0.0178664	0.000370956	0.00103548	0.00127336	0.0177311	0.0178818	0.00809174	0.00588252	0.00300706	0.00671439	0.00420012	0.00842115	0.00734522	0.00363714	0.0158667	0.0016232	0.0107826	0.000987491	0.000174878	7.25162e-05	0.0266991	0.00427056	0.0607252	0.000953871	0.00650645	0.0275124	0.00094823	0.00352745	0.00313257	0.00548143	0.0394211	0.0126563	0.00238132	0.0116194	0.00788784	0.0561863	0.0148768	0.00806077	0.00290417	0.000152099	0.00411717	0.0569699	5.33911e-05	0.0139287	0.0043908	0.00327028	0.00141376	0.0742379	0.00419968	0.0079474	0.0112895	0.0180062	0.0447305	0.0209206	0.00441014	0.00338614	0.00654882	0.037741	0.00149658	0.000719038	0.00401328	0.0128538	0.0256653	0.0187234	0.0887607	0.897326	0.102674	0.5128015
144	-239.0109	-353.606	114.595	0.0150187	0.0322264	0.0196555	0.000651186	0.00562238	0.0247036	0.0138998	0.0120627	0.00106489	0.00140179	0.00204094	0.00223413	0.0106262	0.0275409	0.0145689	0.00527816	0.00551313	0.0216821	0.0018202	0.00505435	0.00398172	0.00263618	0.0367771	0.0181563	0.00304522	0.000595022	5.4085e-05	0.000293848	0.0215844	0.00475914	0.108679	0.00173118	0.00311312	0.088147	0.00561624	0.00730318	0.000924755	0.00776562	0.026478	0.0348685	0.00967467	0.0174086	0.00402173	0.0408754	0.0226796	0.00593405	0.00515543	0.00274689	0.00154689	0.00536694	0.00446735	0.019719	0.0157926	0.0193163	0.0199088	0.088006	0.00629873	0.00320893	0.00093751	0.0112098	0.0341608	0.0537505	0.0055909	0.00370875	0.00372353	0.0614045	0.0292952	0.0188719	0.0174849	0.0115084	0.0100975	0.0221203	0.0977688	0.292873	4.53563	0.4362992	1.563701	0.13913	0.382158	0.740743	1.35	2.61672	7.18755	1.426145	3.58401	0.3228581	0.0117985	0.0253166	0.0154411	0.000511562	0.00441686	0.0194068	0.0109194	0.0094763	0.000836565	0.00110122	0.00160333	0.0017551	0.00834782	0.0216357	0.0114451	0.00414644	0.00433103	0.0170332	0.00142992	0.00397062	0.00312798	0.00207094	0.0288915	0.0142633	0.00239228	0.00046744	4.24884e-05	0.000230843	0.0169564	0.00373871	0.0853767	0.00135999	0.00244562	0.069247	0.00441203	0.00573727	0.000726474	0.00610055	0.0208007	0.0273921	0.00760027	0.013676	0.00315941	0.0321111	0.0178167	0.0046617	0.00405003	0.00215791	0.00121521	0.00421618	0.00350948	0.0154909	0.0124064	0.0151746	0.0156401	0.0691362	0.00494819	0.00252089	0.000736494	0.00880623	0.0268362	0.0422256	0.00439213	0.00291354	0.00292515	0.0482385	0.0230139	0.0148255	0.0137359	0.00904086	0.00793246	0.0173774	0.0768057	0.78185	0.21815	1.272937
180	-232.5168	-346.8031	114.2863	0.0160667	0.0621989	0.0182984	0.000442951	0.0105997	0.0123835	0.0117494	0.0385404	0.00179122	0.00051562	0.00264665	0.000682795	0.047436	0.00652227	0.0364861	0.034876	0.00418618	0.00976588	0.0221562	0.00360545	0.00209027	0.00310562	0.00438372	0.0271296	0.000972135	0.00468751	0.00149781	0.00136837	0.0195384	0.0112286	0.0779862	0.00210737	0.000771401	0.00843963	0.000789504	0.0324477	0.00813641	0.0166271	0.0323508	0.0139712	0.0109282	0.0115562	0.00891813	0.0800434	0.00803209	0.00617804	0.0021225	0.0071949	0.00973482	0.0271555	0.000852544	0.0111313	0.00751143	0.042819	0.0161422	0.167881	0.000619165	0.0235168	0.0020582	0.00595884	0.0499454	0.0470365	0.0049876	0.00405266	0.0110898	0.0637211	0.00604126	0.0507399	0.00994435	0.0438502	0.0102309	0.0323675	0.07347	0.553019	3.2349	0.4732217	1.526778	0.327489	0.580176	0.843791	1.18513	1.72361	3.05354	0.8071627	3.226349	0.8547694	0.0109416	0.042358	0.0124613	0.000301653	0.00721851	0.00843324	0.00800144	0.0262464	0.00121984	0.000351141	0.00180239	0.000464989	0.0323043	0.00444172	0.0248474	0.0237509	0.00285082	0.00665064	0.0150885	0.00245534	0.00142349	0.00211495	0.00298535	0.0184755	0.000662032	0.00319223	0.00102002	0.000931872	0.0133058	0.00764677	0.0531092	0.00143513	0.000525331	0.00574746	0.000537659	0.0220971	0.00554096	0.0113232	0.0220311	0.00951449	0.00744221	0.00786987	0.00607332	0.0545102	0.00546992	0.00420729	0.00144544	0.00489979	0.00662949	0.0184931	0.000580589	0.00758049	0.00511534	0.0291601	0.010993	0.114328	0.000421657	0.0160151	0.00140165	0.00405802	0.0340132	0.0320322	0.0033966	0.00275989	0.00755225	0.0433946	0.00411415	0.0345543	0.00677219	0.0298623	0.00696733	0.0220425	0.0500337	0.763389	0.236611	1.468411
216	-231.4736	-344.4312	112.9576	0.0148744	0.110242	0.0113316	0.00290928	0.013445	0.00142918	0.0132221	0.00446097	0.0272556	0.00592858	0.00160469	0.000931452	0.0275415	0.0053409	0.00720743	0.0138589	0.000477508	0.000411595	0.00500608	0.00291639	0.0011062	0.00906376	0.00782041	0.0101002	0.000459253	0.0487878	0.000757013	0.00504369	0.0116318	0.0220626	0.1511	0.00427522	0.0134957	0.0054167	0.000652976	0.0211975	0.000218237	0.00264811	0.0202355	0.0353887	0.0222073	0.0300778	0.0495916	0.0624	0.0352916	0.00563952	0.00152766	0.000660762	0.0476509	0.0971818	0.0435866	0.00658497	0.0199538	0.0672962	0.0432114	0.164357	0.0203093	0.010532	0.00305794	0.000476718	0.102943	0.017402	0.0134172	0.00019453	0.0191218	0.0678911	0.0051677	0.0219507	0.0153021	0.0113741	0.0114471	0.0412481	0.160604	0.812156	1.93922	0.5589206	1.441079	0.284373	0.541577	0.825861	1.21086	1.84646	3.51651	0.9092359	2.578326	2.094027	0.00799051	0.0592215	0.00608729	0.00156286	0.00722261	0.000767749	0.00710287	0.00239642	0.0146416	0.00318481	0.000862036	0.000500373	0.0147952	0.00286912	0.00387181	0.00744497	0.000256516	0.000221107	0.00268925	0.00156668	0.000594246	0.00486903	0.0042011	0.00542581	0.000246709	0.0262087	0.000406665	0.00270945	0.00624857	0.011852	0.0811707	0.00229664	0.00724985	0.00290983	0.000350777	0.0113872	0.000117236	0.00142256	0.0108705	0.0190107	0.0119297	0.0161577	0.0266405	0.0335211	0.0189586	0.00302954	0.000820654	0.00035496	0.0255979	0.0522058	0.0234146	0.00353743	0.0107191	0.0361513	0.023213	0.0882921	0.0109101	0.00565774	0.00164272	0.000256091	0.0553004	0.00934832	0.00720769	0.000104501	0.0102722	0.0364709	0.00277607	0.0117919	0.00822025	0.00611014	0.00614935	0.0221584	0.0862758	0.72054	0.27946	1.861514
252	-226.6697	-339.8519	113.1821	0.0552777	0.0776681	0.0099613	0.00216602	0.0150762	0.00106345	0.0511846	0.0455843	0.0321994	0.00306574	0.00506024	0.0263325	0.0112611	0.00630253	0.00252157	0.0490446	0.00362639	0.00120722	0.0169153	0.00664519	0.00302571	0.00359406	0.0010571	0.0228456	0.000183464	0.0427166	0.0191115	0.0162658	0.00625519	0.0215263	0.122525	0.010298	0.00636441	0.00175781	0.000109456	0.00216931	0.00586443	0.00169969	0.0260881	0.0151252	0.0289741	0.010224	0.0092998	0.0684052	0.00424489	0.00450042	0.00117994	0.00472051	0.00923942	0.0977831	0.0700226	0.014481	0.0105071	0.0509554	0.010003	0.123808	0.0047523	0.064196	0.00146129	0.000660327	0.0948864	0.0014954	0.00709517	0.0254105	0.0336822	0.0394354	0.00566396	0.00358711	0.0641643	0.0108966	0.00193364	0.0204832	0.171459	0.774742	2.12629	0.3873272	1.612673	0.67352	0.824681	0.941635	1.06198	1.21259	1.48474	0.285784	4.163592	1.821817	0.0303664	0.0426664	0.00547217	0.00118989	0.00828199	0.000584197	0.0281179	0.0250414	0.0176885	0.00168414	0.0027798	0.0144656	0.0061862	0.00346225	0.00138521	0.0269423	0.00199213	0.000663178	0.00929228	0.00365049	0.00166215	0.00197437	0.000580711	0.0125501	0.000100784	0.023466	0.0104988	0.00893552	0.00343624	0.0118253	0.0673081	0.00565713	0.00349624	0.000965637	6.01287e-05	0.00119169	0.00322158	0.000933714	0.0143313	0.00830894	0.0159167	0.0056165	0.00510878	0.0375779	0.0023319	0.00247227	0.00064819	0.00259318	0.00507561	0.0537164	0.0384664	0.00795505	0.00577202	0.027992	0.00549509	0.0680128	0.00261064	0.0352656	0.000802749	0.000362746	0.0521252	0.000821486	0.00389768	0.0139591	0.018503	0.0216635	0.00311145	0.00197055	0.0352482	0.00598594	0.00106223	0.0112523	0.0941899	0.806336	0.193664	1.820358
288	-226.9121	-339.3068	112.3946	0.00600609	0.035427	0.00579843	0.00353803	0.00382357	0.00634249	0.0147166	0.0121658	0.00465849	0.00427121	0.000998852	0.000600595	0.00319651	0.00381703	0.00185164	0.0173718	0.00622433	0.00338068	0.00105642	0.001576	0.0133873	0.00366674	0.00442208	0.00377414	9.23093e-05	0.000355666	0.00437396	0.00286176	0.0148777	0.0129956	0.0263366	0.00301811	0.004003	0.000592419	0.00861871	0.000185012	0.00134946	0.000759459	0.0126227	0.0159517	0.00766536	0.00248763	0.00318346	0.0049268	0.00055385	0.00402924	0.014041	0.000170655	0.0171369	0.0036192	0.00494088	0.0480303	0.00101376	0.00260027	0.0419322	0.0784305	0.00831428	0.00166287	0.000550881	0.00261476	0.00397499	7.27459e-05	0.000663766	0.0250336	0.0219958	0.000526161	0.00791098	0.00354152	0.0307762	0.0102667	0.00213495	0.0189972	0.00970828	0.883241	1.5838	0.2344488	1.765551	0.243257	0.50186	0.806468	1.23997	1.99259	4.11087	1.022155	7.530649	2.788365	0.00917557	0.0541222	0.00885833	0.00540509	0.00584132	0.00968949	0.0224827	0.0185858	0.00711684	0.00652518	0.00152596	0.000917536	0.00488334	0.00583133	0.00282878	0.0265391	0.00950898	0.0051647	0.00161391	0.00240767	0.020452	0.00560172	0.00675566	0.00576579	0.000141022	0.000543355	0.00668215	0.00437195	0.0227289	0.0198535	0.0402347	0.0046108	0.00611544	0.000905045	0.0131669	0.000282644	0.00206159	0.00116023	0.0192839	0.0243697	0.0117105	0.00380039	0.00486342	0.00752674	0.000846123	0.00615551	0.0214507	0.000260711	0.0261803	0.0055291	0.00754824	0.0733764	0.00154873	0.00397247	0.0640603	0.119819	0.0127018	0.00254039	0.000841588	0.0039946	0.00607264	0.000111135	0.00101404	0.0382442	0.0336032	0.000803823	0.0120857	0.00541042	0.0470171	0.0156845	0.00326159	0.0290223	0.0148315	0.882776	0.117224	0.6545738
324	-232.2437	-345.5128	113.2691	0.00639115	0.0603858	0.0289877	0.0103724	0.00305452	0.0100522	0.0417697	0.080576	0.0295188	0.0224537	0.0234177	0.000699813	0.0405471	0.0049043	0.00834175	0.0259824	0.00226291	0.00993593	0.0416527	0.00565459	0.0189071	0.0145175	0.00289496	0.0254956	0.0258195	0.00221097	0.000199919	0.00595846	0.032114	0.0106618	0.0908378	0.0129463	0.0128363	0.01094	0.00450784	0.0299943	0.0034527	0.00521948	0.0206689	0.107446	0.0459085	0.0855144	0.0513788	0.0963693	0.0136544	0.0405731	0.00285166	0.00324175	0.0118751	0.00350571	0.0100289	0.0307997	0.00968653	0.0857156	0.0213428	0.0333351	0.0951654	0.00190164	0.0409381	0.0104689	0.0250543	0.0379555	0.0505221	0.0454673	0.00318822	0.00784365	0.000929081	0.00637979	0.0161667	0.0381412	0.0474282	0.0257771	0.0108951	0.82466	1.8767	0.4954786	1.504521	0.686861	0.832608	0.94445	1.05882	1.20105	1.4559	0.2716015	3.036501	2.197102	0.00335565	0.0317054	0.0152199	0.005446	0.00160376	0.00527787	0.021931	0.0423061	0.0154988	0.0117892	0.0122954	0.000367434	0.0212891	0.00257499	0.0043798	0.013642	0.00118813	0.00521683	0.0218696	0.00296892	0.00992709	0.00762235	0.00151999	0.0133864	0.0135564	0.00116086	0.000104967	0.00312847	0.0168614	0.00559792	0.0476941	0.00679738	0.00673964	0.005744	0.00236682	0.0157484	0.00181283	0.00274047	0.0108521	0.0564143	0.0241041	0.044899	0.0269762	0.0505983	0.00716919	0.0213027	0.00149725	0.00170207	0.00623495	0.00184066	0.00526565	0.0161713	0.00508588	0.0450047	0.0112059	0.0175024	0.0499662	0.00099845	0.0214944	0.00549663	0.0131547	0.0199284	0.0265264	0.0238724	0.00167396	0.00411828	0.00048781	0.00334969	0.00848825	0.0200259	0.024902	0.0135341	0.00572042	0.752261	0.247739	1.904594
